x_GeV_per_c2,y_cm2
2.886191198786039358e+00,1.550175190340865500e-43
2.889226100151744969e+00,1.536618326228680759e-43
2.892261001517450580e+00,1.523285446193353129e-43
2.895295902883156192e+00,1.510046351306019437e-43
2.898330804248861803e+00,1.497027502687056499e-43
2.901365705614567858e+00,1.484100871519489040e-43
2.904400606980273025e+00,1.471390667646619166e-43
2.907435508345979081e+00,1.458890837695846462e-43
2.910470409711684248e+00,1.446476644282850755e-43
2.913505311077390303e+00,1.434269163370656196e-43
2.916540212443095470e+00,1.422145698246464674e-43
2.919575113808801525e+00,1.410225219431278548e-43
2.922610015174506692e+00,1.398501917913763701e-43
2.925644916540212748e+00,1.386856192265323287e-43
2.928679817905917915e+00,1.375404081838057895e-43
2.931714719271623970e+00,1.364027904258777781e-43
2.934749620637329137e+00,1.352841728211374867e-43
2.937784522003035192e+00,1.341839985306294990e-43
2.940819423368740360e+00,1.330907904524542251e-43
2.943854324734446415e+00,1.320156810371342222e-43
2.946889226100151582e+00,1.308908374625647446e-43
2.949924127465857637e+00,1.297819142735426695e-43
2.952959028831562804e+00,1.286889398145515659e-43
2.955993930197268860e+00,1.276119376900081887e-43
2.959028831562974027e+00,1.265503939194121405e-43
2.962063732928680082e+00,1.255043365739884352e-43
2.965098634294385249e+00,1.244737893149653373e-43
2.968133535660091304e+00,1.234481091770382930e-43
2.971168437025796472e+00,1.224270525272857775e-43
2.974203338391502527e+00,1.213998932218457778e-43
2.977238239757207694e+00,1.202933980668333046e-43
2.980273141122913749e+00,1.192084834601453409e-43
2.983308042488618916e+00,1.181556377050811791e-43
2.986342943854324972e+00,1.171353663403217898e-43
2.989377845220030139e+00,1.161682330665379488e-43
2.992412746585736194e+00,1.152447897507080243e-43
2.995447647951441361e+00,1.143262968761362357e-43
2.998482549317147416e+00,1.134223004696689297e-43
3.001517450682852584e+00,1.125230806622068774e-43
3.004552352048558639e+00,1.115416515278841285e-43
3.007587253414263806e+00,1.105521716321653821e-43
3.010622154779969861e+00,1.095731725511046758e-43
3.013657056145675028e+00,1.085953117053469911e-43
3.016691957511381084e+00,1.077207062482230663e-43
3.019726858877086251e+00,1.068593654682171626e-43
3.022761760242792306e+00,1.060112799003313792e-43
3.025796661608497473e+00,1.051673542916977364e-43
3.028831562974203528e+00,1.043363570750964398e-43
3.031866464339908696e+00,1.035093347634477692e-43
3.034901365705614751e+00,1.026949154009108515e-43
3.037936267071319918e+00,1.018842846073531787e-43
3.040971168437025973e+00,1.010597445726823385e-43
3.044006069802731140e+00,1.002466027273956859e-43
3.047040971168437196e+00,9.945343943758170076e-44
3.050075872534142807e+00,9.868046094587941452e-44
3.053110773899848418e+00,9.791941331474406500e-44
3.056145675265554029e+00,9.716188447932724453e-44
3.059180576631259640e+00,9.641596291276979388e-44
3.062215477996965252e+00,9.567336461731519559e-44
3.065250379362670863e+00,9.494205283902402125e-44
3.068285280728376474e+00,9.421386925576747627e-44
3.071320182094082085e+00,9.349665446831251927e-44
3.074355083459787696e+00,9.278237351679514255e-44
3.077389984825493308e+00,9.208669986408962026e-44
3.080424886191198919e+00,9.139403510869173601e-44
3.083459787556904530e+00,9.071197970418352195e-44
3.086494688922610141e+00,9.003273382388113369e-44
3.089529590288315752e+00,8.936378390158346203e-44
3.092564491654021364e+00,8.869744553746757404e-44
3.095599393019726975e+00,8.804109343630296487e-44
