x_GeV_per_c2,y_cm2
1.596068461710967723e+00,1.350851909346906826e-41
1.597897756515909595e+00,1.335744801273928752e-41
1.599729147922321459e+00,1.321060710185520426e-41
1.601562638333172028e+00,1.306790943460966716e-41
1.603398230154184256e+00,1.292927090397319419e-41
1.605235925793837115e+00,1.279279584285832448e-41
1.607075727663371367e+00,1.265844671356801041e-41
1.608917638176790676e+00,1.252617161191780659e-41
1.610761659750865826e+00,1.239804429917947582e-41
1.612607794805137162e+00,1.227181801692351447e-41
1.614456045761918368e+00,1.214914016349987758e-41
1.616306415046299350e+00,1.202988625786137691e-41
1.618158905086149346e+00,1.191224679531347492e-41
1.620013518312120260e+00,1.179817612047676016e-41
1.621870257157650208e+00,1.168386342624337835e-41
1.623729124058965523e+00,1.157289100048141145e-41
1.625590121455085857e+00,1.146510153975925034e-41
1.627453251787825073e+00,1.135838314098490037e-41
1.629318517501796793e+00,1.125422547489068655e-41
1.631185921044415732e+00,1.115090057998074636e-41
1.633055464865902140e+00,1.105020317744377278e-41
1.634927151419283575e+00,1.095197341956587080e-41
1.636800983160400458e+00,1.085264445693199828e-41
1.638676962547906735e+00,1.075551328009944161e-41
1.640555092043275209e+00,1.066040834247819518e-41
1.642435374110799096e+00,1.056534039743967318e-41
1.644317811217596237e+00,1.047018463177452851e-41
1.646202405833612215e+00,1.037659909801710307e-41
1.648089160431623679e+00,1.028440812886540881e-41
1.649978077487240791e+00,1.019199640549180155e-41
1.651869159478911442e+00,1.009922635841528534e-41
1.653762408887924140e+00,1.000737313367834994e-41
1.655657828198411563e+00,9.916259656910729541e-42
1.657555419897352778e+00,9.825715058907027416e-42
1.659455186474577459e+00,9.735873941411955916e-42
1.661357130422769890e+00,9.646865916436569993e-42
1.663261254237469622e+00,9.558815712446769487e-42
1.665167560417077919e+00,9.471843297111464197e-42
1.667076051462858644e+00,9.385775395931388262e-42
1.668986729878942699e+00,9.300444707416432679e-42
1.670899598172331357e+00,9.215689763468018420e-42
1.672814658852898484e+00,9.131635614434929047e-42
1.674731914433394975e+00,9.048402660473037044e-42
1.676651367429452089e+00,8.964559669318802465e-42
1.678573020359583445e+00,8.883042391600725965e-42
1.680496875745189911e+00,8.802404364303673271e-42
1.682422936110561595e+00,8.722487830369271806e-42
1.684351203982882517e+00,8.643140512220740648e-42
1.686281681892232598e+00,8.563001071709825363e-42
1.688214372371591665e+00,8.484879479711459595e-42
1.690149277956842333e+00,8.406207439919442581e-42
1.692086401186774669e+00,8.329737282651294615e-42
1.694025744603087302e+00,8.254112066555430082e-42
1.695967310750392976e+00,8.179183310753659969e-42
1.697911102176219877e+00,8.104807682497148308e-42
1.699857121431016971e+00,8.029708093726763589e-42
1.701805371068155548e+00,7.956518979277638737e-42
1.703755853643934337e+00,7.883949432208039306e-42
1.705708571717580391e+00,7.812103008382082570e-42
1.707663527851255969e+00,7.741079347540596381e-42
1.709620724610057874e+00,7.670738397905751486e-42
1.711580164562024331e+00,7.600944956339299605e-42
1.713541850278135881e+00,7.530500565515348667e-42
1.715505784332320260e+00,7.461875120881939383e-42
1.717471969301455292e+00,7.393857227441575254e-42
1.719440407765372214e+00,7.326543275815020170e-42
1.721411102306858343e+00,7.260026001660022418e-42
1.723384055511662405e+00,7.194173361651659697e-42
1.725359269968495424e+00,7.128857866499229488e-42
1.727336748269036493e+00,7.063956478926162237e-42
1.729316493007934552e+00,6.999565768646600813e-42
1.731298506782812607e+00,6.935778732322105304e-42
1.733282792194270394e+00,6.871498999934271341e-42
1.735269351845889263e+00,6.808977566005983389e-42
1.737258188344232845e+00,6.747106355735219219e-42
1.739249304298854382e+00,6.685765101919458892e-42
1.741242702322296054e+00,6.624837730778423123e-42
1.743238385030095650e+00,6.564414136643311760e-42
1.745236355040788112e+00,6.504580870984054507e-42
1.747236614975909763e+00,6.444309070878354602e-42
1.749239167460001187e+00,6.385709144991431481e-42
1.751244015120611675e+00,6.327741281544932005e-42
1.753251160588300994e+00,6.270292074495841937e-42
1.755260606496645392e+00,6.212370999403147261e-42
1.757272355482237813e+00,6.154951563288721913e-42
1.759286410184694338e+00,6.098971815026557144e-42
1.761302773246655740e+00,6.041729070141645488e-42
1.763321447313791701e+00,5.986251373092683473e-42
1.765342435034804369e+00,5.931551320089274800e-42
1.767365739061431684e+00,5.875843786589197321e-42
1.769391362048450045e+00,5.821056035422987072e-42
1.771419306653679859e+00,5.767053832334024330e-42
1.773449575537986656e+00,5.713883336461388614e-42
1.775482171365285744e+00,5.660785954152176086e-42
1.777517096802546437e+00,5.609582754214645568e-42
1.779554354519794046e+00,5.558540386106155623e-42
1.781593947190114102e+00,5.507712725551739275e-42
1.783635877489655908e+00,5.457919120851659682e-42
1.785680148097635866e+00,5.409015949320148080e-42
1.787726761696341260e+00,5.360269118258181464e-42
1.789775720971133577e+00,5.312634237156344342e-42
1.791827028610452288e+00,5.266871199196941201e-42
1.793880687305817956e+00,5.220597625076303359e-42
1.795936699751835341e+00,5.175488836671732870e-42
1.797995068646198957e+00,5.131391659710792556e-42
1.800055796689693732e+00,5.087436462665212831e-42
1.802118886586200786e+00,5.044517761583240298e-42
1.804184341042700535e+00,5.002636742301726069e-42
1.806252162769275138e+00,4.961641890663379622e-42
1.808322354479113603e+00,4.920839965829137202e-42
1.810394918888514226e+00,4.881088679580720050e-42
1.812469858716887927e+00,4.842233638701906016e-42
1.814547176686764018e+00,4.802762886146695849e-42
1.816626875523790430e+00,4.765019162974705356e-42
1.818708957956739924e+00,4.728159292188058149e-42
1.820793426717512764e+00,4.691366175161683745e-42
1.822880284541140039e+00,4.655448800900760851e-42
1.824969534165787888e+00,4.620394189135668429e-42
1.827061178332760605e+00,4.585398382687149271e-42
1.829155219786503528e+00,4.550461311866793910e-42
1.831251661274609033e+00,4.516217930234951880e-42
1.833350505547817422e+00,4.483284193037185535e-42
1.835451755360022030e+00,4.449602139732844787e-42
1.837555413468272558e+00,4.417329435744279470e-42
1.839661482632778622e+00,4.385674214371864429e-42
1.841769965616913307e+00,4.353867276004202483e-42
1.843880865187217166e+00,4.321902202170862148e-42
1.845994184113400438e+00,4.290376166040025806e-42
